FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202401,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,5.35,37.59,-77.93,-110.17,8340.70,0.61,0.44,0.20,0.20,10.49,23.75,3.38,4.35,5.11,1.20,0.47,73.10,1603.79,2874.55,1538.60,512267592
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202402,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,05.03,35.08,-44.48,-74.53,8339.17,0.61,0.44,1.14,1.34,11.21,24.13,3.61,4.42,5.11,01.08,0.50,73,1631.75,2909.93,1565.69,512267592
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202403,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,3.66,32.92,-48.51,-77.77,8373.85,0.61,0.44,1.21,2.57,10.86,24.75,3.50,4.52,5.13,01.08,0.54,73,1689.38,3012.14,1645.46,512267592
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202404,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,10.32,34.51,-46.72,-70.91,8237.04,0.61,0.44,-0.68,1.87,8.63,22.63,2.80,4.16,5.14,01.08,0.43,72.50,1622.19,2956.01,1610.03,512267592
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202405,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,0.96,29.93,-99.57,-128.54,8149.28,0.61,0.44,0.31,2.19,7.15,23.71,2.33,4.35,5.12,01.08,0.44,72.30,1610.05,2937.73,1631.87,512267592
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202406,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,-0.24,32.96,-57.6,-90.8,8086.28,0.61,0.44,0.58,2.78,7.19,22.65,2.34,4.17,5.10,1.20,0.42,72.30,1611.57,2977.96,1680.56,512267592
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202407,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,0,0,-8104.5,-8104.5,0,0.61,0.44,0,2.78,7.23,22.04,2.35,04.06,5.10,01.08,0.38,,,,,512267592
103,מיטב גמל לבני 50 עד 60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ",202401,1/1/1970 00:00:00,כלל האוכלוסיה,מדרגות,50-60,25.31,25.1,229.12,229.33,13252.38,0.48,0.18,0.33,0.33,16.99,35.90,5.37,6.33,7.49,1.92,0.62,79.10,5409.88,6484.69,3335.33,512065202
103,מיטב גמל לבני 50 עד 60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ",202402,1/1/1970 00:00:00,כלל האוכלוסיה,מדרגות,50-60,22.31,24.01,230.7,229,13711.72,0.48,0.18,1.78,2.12,17.89,36.79,5.64,6.47,7.50,1.80,0.66,79.50,5782.36,6717.65,3434.05,512065202
103,מיטב גמל לבני 50 עד 60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ",202403,1/1/1970 00:00:00,כלל האוכלוסיה,מדרגות,50-60,22.16,33.01,164.74,153.89,14154.26,0.48,0.18,2.14,4.30,17.91,38.98,5.65,6.80,7.54,1.80,0.73,79.70,6173.12,7242.51,3581.18,512065202
